,Date,HomeTeam,AwayTeam,Result,B365H,B365D,B365A,B365>2.5,B365<2.5,HTeam,HM,HG,HGA,HPTS,HxG,HxGA,HPPDA,HOPPDA,HDC,HODC,HPTS/M,ATeam,AM,AG,AGA,APTS,AxG,AxGA,APPDA,AOPPDA,ADC,AODC,APTS/M
13,19/08/2023,Wolverhampton Wanderers,Brighton,"['1 ', ' 4']",4.0,3.8,1.85,1.73,2.1,Wolverhampton Wanderers,1,0,1,0,1.72,1.97,13.5,7.28,12.0,16.0,0.0,Brighton,1,4,1,3,4.37,1.89,6.88,23.06,17.0,5.0,3.0
14,19/08/2023,Tottenham,Manchester United,"['2 ', ' 0']",2.8,3.6,2.38,1.57,2.38,Tottenham,1,2,2,1,1.45,1.91,5.87,14.1,7.0,11.0,1.0,Manchester United,1,1,0,3,1.97,1.72,7.28,13.5,16.0,12.0,3.0
15,19/08/2023,Manchester City,Newcastle United,"['1 ', ' 0']",1.67,4.0,5.0,1.73,2.1,Manchester City,1,3,0,3,2.4,0.31,15.8,33.07,9.0,4.0,3.0,Newcastle United,1,5,1,3,4.32,1.49,15.0,11.57,9.0,6.0,3.0
16,20/08/2023,Aston Villa,Everton,"['4 ', ' 0']",1.7,4.0,4.5,1.92,1.98,Aston Villa,1,1,5,0,1.49,4.32,11.57,15.0,6.0,9.0,0.0,Everton,1,0,1,0,2.59,1.58,14.83,17.4,7.0,6.0,0.0
17,20/08/2023,West Ham,Chelsea,"['3 ', ' 1']",3.75,3.5,2.0,1.96,1.94,West Ham,1,1,1,1,1.48,1.51,9.73,5.11,8.0,9.0,1.0,Chelsea,1,1,1,1,1.93,1.3,8.95,20.05,11.0,9.0,1.0
18,21/08/2023,Crystal Palace,Arsenal,"['0 ', ' 1']",5.5,4.0,1.6,1.94,1.96,Crystal Palace,1,1,0,3,2.28,0.42,4.39,14.18,9.0,2.0,3.0,Arsenal,1,2,1,3,0.84,0.97,4.0,44.1,9.0,4.0,3.0
19,25/08/2023,Chelsea,Luton,"['3 ', ' 0']",1.29,5.5,11.0,1.67,2.2,Chelsea,2,2,4,1,3.54,3.01,6.98,22.71,10.0,6.0,0.5,Luton,1,1,4,0,1.89,4.37,23.06,6.88,5.0,17.0,0.0
20,26/08/2023,Bournemouth,Tottenham,"['0 ', ' 2']",3.8,3.75,1.91,1.53,2.5,Bournemouth,2,2,4,1,2.9,4.74,8.37,8.66,8.5,9.5,0.5,Tottenham,2,4,2,4,3.99,4.35,7.43,13.22,9.5,11.5,2.0
21,26/08/2023,Arsenal,Fulham,"['2 ', ' 2']",1.2,7.0,13.0,1.44,2.75,Arsenal,2,3,1,6,3.05,2.04,6.38,25.81,8.0,7.0,3.0,Fulham,2,1,3,3,1.98,6.06,12.58,13.9,7.0,10.0,1.5
22,26/08/2023,Brentford,Crystal Palace,"['1 ', ' 1']",2.15,3.4,3.5,2.1,1.73,Brentford,2,5,2,4,5.38,1.85,13.46,7.83,12.0,7.5,2.0,Crystal Palace,2,1,1,3,3.35,2.63,8.49,12.0,9.5,4.5,1.5
23,26/08/2023,Everton,Wolverhampton Wanderers,"['0 ', ' 1']",2.3,3.3,3.2,2.1,1.73,Everton,2,0,5,0,3.31,4.82,15.78,17.18,4.5,9.5,0.0,Wolverhampton Wanderers,2,1,5,0,4.41,5.13,13.57,7.4,9.0,15.0,0.0
24,26/08/2023,Manchester United,Nottingham Forest,"['3 ', ' 2']",1.3,6.0,8.0,1.5,2.63,Manchester United,2,1,2,3,4.42,4.26,9.58,11.58,14.0,12.0,1.5,Nottingham Forest,2,3,3,3,2.34,1.39,27.16,7.52,5.0,6.5,1.5
25,26/08/2023,Brighton,West Ham,"['1 ', ' 3']",1.53,4.75,5.25,1.5,2.63,Brighton,2,8,2,6,7.52,4.57,7.31,17.4,15.5,5.5,3.0,West Ham,2,4,2,4,3.2,3.12,14.95,5.18,5.5,9.0,2.0
26,27/08/2023,Burnley,Aston Villa,"['1 ', ' 3']",3.4,3.4,2.15,1.86,2.04,Burnley,1,0,3,0,0.31,2.4,33.07,15.8,4.0,9.0,0.0,Aston Villa,2,5,5,3,4.73,5.04,13.2,16.0,9.5,5.5,1.5
27,27/08/2023,Sheffield United,Manchester City,"['1 ', ' 2']",13.0,8.0,1.17,1.57,2.38,Sheffield United,2,1,3,0,0.97,3.65,13.41,8.92,3.0,7.5,0.0,Manchester City,2,4,0,6,3.63,0.57,14.53,21.51,9.0,4.5,3.0
28,27/08/2023,Newcastle United,Liverpool,"['1 ', ' 2']",2.2,3.75,3.0,1.5,2.63,Newcastle United,2,5,2,3,4.58,2.71,15.32,12.45,7.0,7.5,1.5,Liverpool,2,4,2,4,4.55,3.32,13.36,10.31,10.0,9.5,2.0
29,01/09/2023,Luton,West Ham,"['1 ', ' 2']",4.75,3.8,1.73,1.87,2.03,Luton,2,1,7,0,2.35,7.78,20.74,7.0,4.5,17.0,0.0,West Ham,3,7,3,7,6.15,4.49,17.47,4.77,6.0,13.666666666666666,2.3333333333333335
30,02/09/2023,Sheffield United,Everton,"['2 ', ' 2']",2.9,3.25,2.5,2.2,1.67,Sheffield United,3,2,5,0,1.74,7.5,18.38,8.29,3.0,12.333333333333334,0.0,Everton,3,0,6,0,5.21,6.23,14.84,13.95,5.333333333333333,7.666666666666667,0.0
31,02/09/2023,Brentford,Bournemouth,"['2 ', ' 2']",1.73,3.8,4.75,1.73,2.1,Brentford,3,6,3,5,6.32,2.91,10.7,9.38,9.666666666666666,6.666666666666667,1.6666666666666667,Bournemouth,3,2,6,1,3.38,7.0,9.0,8.34,7.666666666666667,13.0,0.3333333333333333
32,02/09/2023,Burnley,Tottenham,"['2 ', ' 5']",3.6,4.0,1.85,1.62,2.3,Burnley,2,1,6,0,0.94,5.24,15.93,20.07,6.0,9.0,0.0,Tottenham,3,6,2,7,6.25,4.84,7.52,11.99,13.0,9.666666666666666,2.3333333333333335
33,02/09/2023,Chelsea,Nottingham Forest,"['0 ', ' 1']",1.4,4.5,8.5,1.62,2.3,Chelsea,3,5,4,4,6.96,3.48,7.02,21.26,12.333333333333334,5.333333333333333,1.3333333333333333,Nottingham Forest,3,5,6,3,3.3,4.42,24.66,7.78,5.0,8.666666666666666,1.0
34,02/09/2023,Manchester City,Fulham,"['5 ', ' 1']",1.17,8.0,15.0,1.4,3.0,Manchester City,3,6,1,9,7.47,1.33,12.3,24.77,13.333333333333334,4.0,3.0,Fulham,3,3,5,4,2.83,9.29,17.5,12.13,5.333333333333333,14.0,1.3333333333333333
35,02/09/2023,Brighton,Newcastle United,"['3 ', ' 1']",2.5,3.8,2.55,1.5,2.63,Brighton,3,9,5,6,8.9,7.53,6.29,19.58,18.0,6.0,2.0,Newcastle United,3,6,4,3,6.2,3.57,13.86,13.61,6.333333333333333,6.666666666666667,1.0
36,03/09/2023,Crystal Palace,Wolverhampton Wanderers,"['3 ', ' 2']",1.91,3.3,4.33,2.2,1.67,Crystal Palace,3,2,2,4,4.41,3.58,10.14,9.91,8.0,4.666666666666667,1.3333333333333333,Wolverhampton Wanderers,3,2,5,3,5.81,7.02,12.52,8.89,7.333333333333333,12.333333333333334,1.0
37,03/09/2023,Liverpool,Aston Villa,"['3 ', ' 0']",1.65,4.5,4.5,1.4,3.0,Liverpool,3,6,3,7,5.41,4.94,14.3,10.46,8.333333333333334,8.0,2.3333333333333335,Aston Villa,3,8,6,6,7.57,5.67,16.24,12.59,9.333333333333334,6.333333333333333,2.0
38,03/09/2023,Arsenal,Manchester United,"['3 ', ' 1']",1.75,3.8,4.5,1.57,2.38,Arsenal,3,5,3,7,6.28,2.89,6.83,28.31,12.666666666666666,5.333333333333333,2.3333333333333335,Manchester United,3,4,4,6,7.44,5.22,9.29,13.69,13.666666666666666,9.666666666666666,2.0
39,16/09/2023,Wolverhampton Wanderers,Liverpool,"['1 ', ' 3']",6.0,5.0,1.45,1.44,2.75,Wolverhampton Wanderers,4,4,8,3,6.95,9.35,10.61,9.53,7.5,12.0,0.75,Liverpool,4,9,3,10,8.14,5.56,12.56,16.2,9.0,6.75,2.5
40,16/09/2023,Aston Villa,Crystal Palace,"['3 ', ' 1']",1.91,3.6,4.0,1.89,2.01,Aston Villa,4,8,9,6,8.18,8.41,22.79,11.42,7.75,7.5,1.5,Crystal Palace,4,5,4,7,6.74,4.72,10.62,8.91,8.75,5.5,1.75
41,16/09/2023,Fulham,Luton,"['1 ', ' 0']",1.67,3.75,5.5,1.89,2.01,Fulham,4,4,10,4,4.3,11.29,19.76,10.81,5.0,12.5,1.0,Luton,3,2,9,0,4.37,9.01,20.91,6.95,5.666666666666667,13.333333333333334,0.0
42,16/09/2023,Manchester United,Brighton,"['1 ', ' 3']",2.15,4.0,2.88,1.44,2.75,Manchester United,4,5,7,6,8.41,7.13,11.24,15.06,11.25,10.0,1.5,Brighton,4,12,6,9,10.22,8.43,7.33,16.74,15.75,6.25,2.25
43,16/09/2023,Tottenham,Sheffield United,"['2 ', ' 1']",1.29,5.5,11.0,1.5,2.63,Tottenham,4,11,4,10,8.65,6.5,8.59,10.78,13.75,9.0,2.5,Sheffield United,4,4,7,1,3.31,10.23,16.83,8.41,3.5,10.0,0.25
44,16/09/2023,West Ham,Manchester City,"['1 ', ' 3']",7.0,4.5,1.45,1.62,2.3,West Ham,4,9,4,10,7.37,6.52,14.26,7.85,6.0,12.25,2.5,Manchester City,4,11,2,12,9.48,2.79,10.74,24.69,12.0,4.0,3.0
45,16/09/2023,Newcastle United,Brentford,"['1 ', ' 0']",1.53,4.2,6.0,1.67,2.2,Newcastle United,4,7,7,3,7.1,4.89,13.27,12.66,6.5,7.25,0.75,Brentford,4,8,5,6,9.4,5.02,9.34,10.35,11.0,6.25,1.5
46,17/09/2023,Bournemouth,Chelsea,"['0 ', ' 0']",4.33,3.75,1.8,1.67,2.2,Bournemouth,4,4,8,2,5.49,10.07,9.95,7.73,7.0,13.5,0.5,Chelsea,4,5,5,4,9.24,4.63,6.83,20.79,13.75,4.5,1.0
47,17/09/2023,Everton,Arsenal,"['0 ', ' 1']",6.0,4.5,1.5,1.67,2.2,Everton,4,2,8,1,7.95,7.8,13.17,13.57,4.75,7.0,0.25,Arsenal,4,8,4,10,8.19,3.85,9.32,27.82,12.25,5.0,2.5
48,18/09/2023,Nottingham Forest,Burnley,"['1 ', ' 1']",2.2,3.5,3.25,1.92,1.98,Nottingham Forest,4,6,6,6,4.45,6.71,22.93,7.43,4.25,11.0,1.5,Burnley,3,3,11,0,2.61,7.64,12.47,16.79,6.333333333333333,11.333333333333334,0.0
49,23/09/2023,Crystal Palace,Fulham,"['0 ', ' 0']",1.91,3.4,4.2,2.0,1.8,Crystal Palace,5,6,7,7,7.85,7.03,10.34,7.84,8.4,7.2,1.4,Fulham,5,5,10,7,6.05,12.75,16.8,14.18,5.8,10.6,1.4
50,23/09/2023,Luton,Wolverhampton Wanderers,"['1 ', ' 1']",3.25,3.4,2.2,2.02,1.88,Luton,4,2,10,0,5.83,10.76,24.13,6.87,5.0,12.25,0.0,Wolverhampton Wanderers,5,5,11,3,7.49,12.18,12.13,9.6,7.8,12.8,0.6
51,23/09/2023,Manchester City,Nottingham Forest,"['2 ', ' 0']",1.14,8.5,15.0,1.4,3.0,Manchester City,5,14,3,15,13.63,3.69,10.88,26.45,12.8,3.4,3.0,Nottingham Forest,5,7,7,7,5.15,7.51,20.91,7.78,5.2,9.0,1.4
52,23/09/2023,Brentford,Everton,"['1 ', ' 3']",1.8,3.8,4.2,1.95,1.95,Brentford,5,8,6,6,10.03,6.53,9.02,9.85,9.6,6.6,1.2,Everton,5,2,9,1,8.23,8.6,14.76,12.08,4.4,7.6,0.2
53,23/09/2023,Burnley,Manchester United,"['0 ', ' 1']",4.2,4.2,1.73,1.62,2.3,Burnley,4,4,12,1,3.42,8.34,11.69,16.36,5.0,10.75,0.25,Manchester United,5,6,10,6,9.13,9.07,13.61,14.58,10.0,8.8,1.2
54,24/09/2023,Arsenal,Tottenham,"['2 ', ' 2']",1.67,4.33,4.33,1.5,2.63,Arsenal,5,9,4,13,8.99,4.13,8.9,26.71,11.8,4.6,2.6,Tottenham,5,13,5,13,10.81,7.29,7.74,11.37,15.2,8.0,2.6
55,24/09/2023,Brighton,Bournemouth,"['3 ', ' 1']",1.36,5.25,7.5,1.36,3.2,Brighton,5,15,7,12,12.16,9.15,8.39,18.02,13.4,6.0,2.4,Bournemouth,5,4,8,3,6.82,11.47,10.96,7.3,7.4,14.2,0.6
56,24/09/2023,Chelsea,Aston Villa,"['0 ', ' 1']",1.91,3.75,3.8,1.73,2.1,Chelsea,5,5,5,5,10.64,5.95,6.54,19.81,14.4,5.4,1.0,Aston Villa,5,11,10,9,10.5,9.52,16.78,10.98,9.0,7.4,1.8
57,24/09/2023,Liverpool,West Ham,"['3 ', ' 1']",1.4,5.0,7.0,1.4,3.0,Liverpool,5,12,4,13,10.97,6.09,12.1,16.67,10.4,7.2,2.6,West Ham,5,10,7,10,8.27,10.67,16.93,8.52,5.0,13.0,2.0
58,24/09/2023,Sheffield United,Newcastle United,"['0 ', ' 8']",7.0,4.75,1.44,1.67,2.2,Sheffield United,5,5,9,1,4.1,12.39,16.32,7.44,3.6,12.2,0.2,Newcastle United,5,8,7,6,8.61,5.52,12.18,11.65,6.8,6.6,1.2
